# ----------------------------------------,,
# www.cloga.info,,
# 热门转化路径,,
# 20091223-20130122,,
# ----------------------------------------,,
,,
基本渠道分组路径,转化次数,转化价值
直接,"1,150","￥3,336.82"
自然搜索,739,"￥1,169.72"
引荐,"4,507",￥33.00
直接 > 直接,259,￥48.78
自然搜索 > 自然搜索,152,￥13.10
直接 > 直接 > 直接,139,￥67.26
自然搜索 > 直接,92,￥7.40
直接 > 直接 > 直接 > 直接,79,￥7.10
引荐 > 直接,77,￥5.70
（其他）,72,￥5.80
直接 > 直接 > 直接 > 直接 > 直接,64,￥4.40
社交网络,58,￥3.80
直接 > 直接 > 直接 > 直接 > 直接 > 直接,49,￥3.80
自然搜索 > 自然搜索 > 自然搜索,48,￥4.30
直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接,34,￥2.10
直接 > 自然搜索,34,￥5.70
引荐 > 引荐,28,￥2.10
自然搜索 > 直接 > 直接,24,￥1.80
直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接,22,￥1.60
引荐 > 直接 > 直接,19,￥1.30
自然搜索 > 直接 > 直接 > 直接,16,￥1.00
直接 > 引荐,15,￥1.30
自然搜索 > 自然搜索 > 直接 > 直接 > 直接 > 直接,15,￥95.04
直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接,14,￥1.00
自然搜索 > 直接 > 自然搜索,14,￥1.30
自然搜索 > 引荐,14,￥1.10
引荐 > 自然搜索,13,￥1.00
自然搜索 > 自然搜索 > 自然搜索 > 自然搜索,13,￥1.20
直接 > 直接 > 自然搜索,11,￥0.80
自然搜索 > 自然搜索 > 直接,11,￥0.80
自然搜索 > 自然搜索 > 引荐,11,￥0.80
直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接,10,￥0.40
直接 > 自然搜索 > 直接,10,￥0.70
直接 > 自然搜索 > 自然搜索,10,￥0.90
引荐 > 引荐 > 直接,10,￥0.60
直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接,9,￥0.80
自然搜索 > 自然搜索 > 自然搜索 > 自然搜索 > 自然搜索 > 自然搜索 > 自然搜索,9,￥0.70
直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接,8,￥0.70
直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接,7,￥0.50
付费搜索,7,￥0.70
自然搜索 > 自然搜索 > 自然搜索 > 自然搜索 > 自然搜索,7,￥0.70
引荐 > 直接 > 直接 > 直接,6,￥0.50
引荐 > 直接 > 直接 > 直接 > 直接,6,￥0.40
引荐 > 引荐 > 引荐,6,￥0.40
自然搜索 > 自然搜索 > 自然搜索 > 自然搜索 > 自然搜索 > 自然搜索,6,￥0.60
直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接 > 直接,5,￥0.20
直接 > 引荐 > 直接,5,￥0.50
引荐 > 直接 > 引荐,5,￥0.40
